	[Abort Jobs]
	OID	Abort	Delay
[1]	298	6	0
[2]	117	45	0
[3]	274	50	0
[4]	206	97	0
[5]	272	501	500
[6]	119	500	494
[7]	116	507	501
[8]	267	500	470
[9]	122	500	250
[10]	205	601	0
[11]	108	604	0
[12]	231	687	87
[13]	101	687	86
[14]	102	687	86
	[Jobs Done]
	OID	Departure	Delay
[1]	120	501	0
[2]	121	11	0
[3]	131	106	9
[4]	115	115	100
[5]	111	505	495
[6]	135	514	6
[7]	142	594	13
[8]	132	607	0
[9]	370	583	0
[10]	103	602	0
[11]	104	605	1
[12]	105	607	4
[13]	106	608	6
[14]	107	611	5
[Average Delay]	111.18 ms
[Success Rate]	50.00 %
