	[Abort Jobs]
	OID	CID	Abort	Delay
[1]	106	0	6	0
[2]	108	0	6	0
[3]	156	0	7	0
[4]	158	0	8	0
[5]	143	0	9	0
[6]	162	0	9	0
[7]	220	0	9	0
[8]	245	0	9	0
[9]	105	0	10	0
[10]	188	0	10	0
[11]	104	0	11	0
[12]	130	0	15	0
[13]	119	0	16	0
[14]	237	0	17	0
[15]	288	0	18	0
[16]	283	0	22	0
[17]	284	0	24	0
[18]	142	0	25	0
[19]	115	0	28	0
[20]	153	1	29	28
[21]	101	1	29	26
[22]	112	1	29	24
[23]	296	0	40	0
[24]	195	0	41	0
[25]	199	0	44	0
[26]	293	0	45	0
[27]	131	0	48	0
[28]	266	0	48	0
[29]	211	2	49	48
[30]	218	2	49	46
[31]	103	2	49	43
[32]	252	2	81	30
[33]	168	0	58	0
[34]	212	0	60	0
[35]	291	0	61	0
[36]	152	0	63	0
[37]	289	0	65	0
[38]	116	0	67	0
[39]	300	0	68	0
[40]	170	0	69	0
[41]	167	1	70	40
[42]	173	1	70	36
[43]	264	1	84	48
[44]	129	0	74	0
[45]	258	0	75	0
[46]	193	0	77	0
[47]	243	0	78	0
[48]	253	0	80	0
[49]	248	2	96	43
[50]	255	1	108	38
[51]	272	0	86	0
[52]	219	0	87	0
[53]	222	0	91	0
[54]	203	0	92	0
[55]	181	0	94	0
[56]	144	0	95	0
[57]	227	2	96	42
[58]	280	2	96	41
[59]	105	2	96	14
[60]	221	0	101	0
[61]	224	0	103	0
[62]	187	2	114	15
[63]	133	0	105	0
[64]	127	0	106	0
[65]	276	0	107	0
[66]	287	1	108	36
[67]	207	1	108	35
[68]	148	1	125	40
[69]	254	2	133	34
[70]	109	0	119	0
[71]	124	0	120	0
[72]	184	0	121	0
[73]	285	0	124	0
[74]	268	1	125	17
[75]	238	1	146	33
[76]	164	0	132	0
[77]	192	2	133	33
[78]	256	2	139	35
[79]	262	0	137	0
[80]	263	2	144	28
[81]	122	0	140	0
[82]	202	0	142	0
[83]	239	0	143	0
[84]	111	2	169	36
[85]	299	0	145	0
[86]	140	1	146	32
[87]	139	1	174	45
[88]	180	0	150	0
[89]	297	0	152	0
[90]	210	0	153	0
[91]	132	0	154	0
[92]	100	0	155	0
[93]	137	0	157	0
[94]	232	0	158	0
[95]	172	0	164	0
[96]	107	0	165	0
[97]	246	0	167	0
[98]	249	0	168	0
[99]	121	2	169	34
[100]	225	2	169	30
[101]	157	2	169	25
[102]	261	1	174	44
[103]	169	1	180	34
[104]	277	0	178	0
[105]	182	1	180	32
[106]	197	1	202	28
[107]	175	0	183	0
[108]	233	0	184	0
[109]	155	0	185	0
[110]	216	0	188	0
[111]	217	0	190	0
[112]	150	0	192	0
[113]	196	0	193	0
[114]	135	0	194	0
[115]	292	0	196	0
[116]	163	0	198	0
[117]	260	0	200	0
[118]	120	1	202	26
[119]	241	1	202	22
[120]	145	1	202	21
[121]	106	0	206	0
[122]	104	0	207	0
[123]	138	0	212	0
[124]	118	0	216	0
[125]	265	0	217	0
[126]	171	1	239	36
[127]	235	2	219	49
[128]	102	2	219	48
[129]	151	2	219	42
[130]	230	0	228	0
[131]	242	0	229	0
[132]	240	0	230	0
[133]	174	0	232	0
[134]	298	0	234	0
[135]	185	0	236	0
[136]	141	0	237	0
[137]	213	1	239	35
[138]	101	1	239	34
[139]	166	1	243	17
[140]	161	2	241	17
[141]	290	2	264	39
[142]	229	1	289	50
[143]	286	0	250	0
[144]	176	2	264	37
[145]	134	2	293	49
[146]	198	1	289	47
[147]	108	1	289	46
[148]	259	1	289	43
[149]	269	2	293	44
	[Jobs Done]
	OID	CID	Departure	Delay
[1]	123	1	29	0
[2]	149	2	49	0
[3]	208	1	70	0
[4]	126	2	54	0
[5]	281	2	104	0
[6]	178	2	219	0
[7]	236	1	220	0
[8]	125	2	241	0
[Average Delay]	12.07 ms
[Success Rate]	5.10 %
