OID	Arrival	Duration	TimeOut
197	174	28	202
198	242	5	247
232	158	2	160
178	169	50	219
255	70	38	108
300	68	17	85
238	113	33	146
171	203	36	239
211	1	40	41
122	140	18	158
216	188	24	212
219	87	29	116
249	168	12	180
118	216	42	258
199	44	32	76
193	77	28	105
220	9	27	36
248	53	43	96
135	194	27	221
221	101	19	120
127	106	21	127
140	114	17	131
134	244	49	293
280	55	23	78
168	58	29	87
150	192	31	223
108	243	8	251
299	145	35	180
286	250	22	272
182	148	2	150
162	9	49	58
175	183	13	196
153	1	1	2
203	92	17	109
296	40	32	72
256	104	35	139
253	80	2	82
192	100	8	108
260	200	26	226
166	226	17	243
207	73	17	90
187	99	15	114
266	48	7	55
121	135	34	169
131	48	50	98
141	237	6	243
152	63	27	90
263	116	28	144
145	181	9	190
233	184	31	215
254	99	34	133
217	190	16	206
101	205	10	215
124	120	19	139
157	144	17	161
210	153	43	196
237	17	24	41
195	41	19	60
298	234	47	281
111	133	36	169
120	176	10	186
208	29	41	70
156	7	13	20
287	72	1	73
229	239	50	289
119	16	35	51
180	150	24	174
264	36	48	84
188	10	9	19
172	164	28	192
184	121	24	145
138	212	44	256
281	98	6	104
137	157	35	192
235	170	26	196
167	30	35	65
106	206	44	250
164	132	47	179
129	74	48	122
130	15	35	50
288	18	16	34
163	198	2	200
218	3	46	49
116	67	23	90
173	34	29	63
268	108	7	115
258	75	9	84
212	60	17	77
293	45	42	87
292	196	49	245
107	165	35	200
102	171	21	192
285	124	28	152
185	236	42	278
242	229	40	269
148	85	40	125
284	24	26	50
132	154	37	191
262	137	43	180
259	246	8	254
265	217	41	258
126	50	4	54
176	227	25	252
142	25	7	32
277	178	49	227
213	204	21	225
174	232	37	269
297	152	30	182
181	94	16	110
289	65	42	107
139	129	45	174
245	9	16	30
109	119	36	155
155	185	17	202
144	95	13	124
252	51	30	81
230	228	22	250
243	78	19	97
161	224	10	234
225	139	4	143
169	146	34	180
104	207	47	254
158	8	29	37
125	222	19	241
100	155	5	160
240	230	19	257
170	69	18	87
151	177	38	215
227	54	2	56
224	103	21	124
246	167	5	172
239	143	47	190
115	28	13	61
149	1	48	49
196	193	25	218
236	202	18	220
283	22	20	42
272	86	19	105
202	142	42	184
269	249	2	251
261	130	40	170
222	91	40	131
143	9	8	19
133	105	36	141
276	107	13	120
291	61	39	110
105	82	12	94
123	1	28	29
241	180	18	198
290	225	39	264
103	6	7	15
104	11	9	22
112	5	6	13
101	3	9	12
106	6	9	17
108	6	8	18
105	10	6	20
