	[Abort Jobs]
	OID	Abort	Delay
[1]	101	3	0
[2]	218	3	0
[3]	112	5	0
[4]	103	6	0
[5]	106	6	0
[6]	108	6	0
[7]	156	7	0
[8]	158	8	0
[9]	143	9	0
[10]	162	9	0
[11]	220	9	0
[12]	245	9	0
[13]	105	10	0
[14]	188	10	0
[15]	104	11	0
[16]	130	15	0
[17]	119	16	0
[18]	237	17	0
[19]	288	18	0
[20]	283	22	0
[21]	284	24	0
[22]	142	25	0
[23]	115	28	0
[24]	149	49	48
[25]	167	30	0
[26]	173	34	0
[27]	264	36	0
[28]	296	40	0
[29]	195	41	0
[30]	199	44	0
[31]	293	45	0
[32]	131	48	0
[33]	266	48	0
[34]	153	49	48
[35]	211	49	48
[36]	208	70	41
[37]	227	54	0
[38]	280	55	0
[39]	168	58	0
[40]	212	60	0
[41]	291	61	0
[42]	152	63	0
[43]	289	65	0
[44]	116	67	0
[45]	300	68	0
[46]	170	69	0
[47]	126	70	20
[48]	252	81	30
[49]	207	73	0
[50]	129	74	0
[51]	258	75	0
[52]	193	77	0
[53]	243	78	0
[54]	253	80	0
[55]	248	96	43
[56]	148	85	0
[57]	272	86	0
[58]	219	87	0
[59]	222	91	0
[60]	203	92	0
[61]	181	94	0
[62]	144	95	0
[63]	255	108	38
[64]	187	99	0
[65]	254	99	0
[66]	192	100	0
[67]	221	101	0
[68]	224	103	0
[69]	256	104	0
[70]	133	105	0
[71]	127	106	0
[72]	276	107	0
[73]	287	108	36
[74]	105	108	26
[75]	281	108	10
[76]	238	146	33
[77]	124	120	0
[78]	184	121	0
[79]	285	124	0
[80]	139	129	0
[81]	261	130	0
[82]	164	132	0
[83]	111	133	0
[84]	121	135	0
[85]	262	137	0
[86]	225	139	0
[87]	122	140	0
[88]	202	142	0
[89]	239	143	0
[90]	157	144	0
[91]	299	145	0
[92]	140	146	32
[93]	263	146	30
[94]	109	155	36
[95]	297	152	0
[96]	210	153	0
[97]	132	154	0
[98]	169	180	34
[99]	137	157	0
[100]	232	158	0
[101]	172	164	0
[102]	107	165	0
[103]	246	167	0
[104]	249	168	0
[105]	178	169	0
[106]	235	170	0
[107]	102	171	0
[108]	197	174	0
[109]	120	176	0
[110]	151	177	0
[111]	277	178	0
[112]	182	180	32
[113]	180	180	30
[114]	100	180	25
[115]	155	185	0
[116]	216	188	0
[117]	217	190	0
[118]	150	192	0
[119]	196	193	0
[120]	135	194	0
[121]	292	196	0
[122]	145	198	17
[123]	175	198	15
[124]	233	215	31
[125]	171	203	0
[126]	213	204	0
[127]	101	205	0
[128]	106	206	0
[129]	104	207	0
[130]	138	212	0
[131]	163	215	17
[132]	260	226	26
[133]	125	222	0
[134]	161	224	0
[135]	290	225	0
[136]	236	226	24
[137]	118	258	42
[138]	230	228	0
[139]	242	229	0
[140]	240	230	0
[141]	174	232	0
[142]	298	234	0
[143]	185	236	0
[144]	141	237	0
[145]	229	239	0
[146]	198	242	0
[147]	108	243	0
[148]	134	244	0
[149]	259	246	0
[150]	269	249	0
[151]	286	250	0
[152]	265	258	41
[153]	166	258	32
[154]	176	258	31
	[Jobs Done]
	OID	Departure	Delay
[1]	123	29	0
[2]	268	115	0
[3]	241	198	0
[Average Delay]	5.83 ms
[Success Rate]	1.91 %
