OID	Arrival	Duration	TimeOut
123	1	28	29
149	1	48	49
153	1	1	2
211	1	40	41
101	3	9	12
218	3	46	49
112	5	6	13
103	6	7	15
106	6	9	17
108	6	8	18
156	7	13	20
158	8	29	37
143	9	8	19
162	9	49	58
220	9	27	36
245	9	16	30
105	10	6	20
188	10	9	19
104	11	9	22
130	15	35	50
119	16	35	51
237	17	24	41
288	18	16	34
283	22	20	42
284	24	26	50
142	25	7	32
115	28	13	61
208	29	41	70
167	30	35	65
173	34	29	63
264	36	48	84
296	40	32	72
195	41	19	60
199	44	32	76
293	45	42	87
131	48	50	98
266	48	7	55
126	50	4	54
252	51	30	81
248	53	43	96
227	54	2	56
280	55	23	78
168	58	29	87
212	60	17	77
291	61	39	110
152	63	27	90
289	65	42	107
116	67	23	90
300	68	17	85
170	69	18	87
255	70	38	108
287	72	1	73
207	73	17	90
129	74	48	122
258	75	9	84
193	77	28	105
243	78	19	97
253	80	2	82
105	82	12	94
148	85	40	125
272	86	19	105
219	87	29	116
222	91	40	131
203	92	17	109
181	94	16	110
144	95	13	124
281	98	6	104
187	99	15	114
254	99	34	133
192	100	8	108
221	101	19	120
224	103	21	124
256	104	35	139
133	105	36	141
127	106	21	127
276	107	13	120
268	108	7	115
238	113	33	146
140	114	17	131
263	116	28	144
109	119	36	155
124	120	19	139
184	121	24	145
285	124	28	152
139	129	45	174
261	130	40	170
164	132	47	179
111	133	36	169
121	135	34	169
262	137	43	180
225	139	4	143
122	140	18	158
202	142	42	184
239	143	47	190
157	144	17	161
299	145	35	180
169	146	34	180
182	148	2	150
180	150	24	174
297	152	30	182
210	153	43	196
132	154	37	191
100	155	5	160
137	157	35	192
232	158	2	160
172	164	28	192
107	165	35	200
246	167	5	172
249	168	12	180
178	169	50	219
235	170	26	196
102	171	21	192
197	174	28	202
120	176	10	186
151	177	38	215
277	178	49	227
241	180	18	198
145	181	9	190
175	183	13	196
233	184	31	215
155	185	17	202
216	188	24	212
217	190	16	206
150	192	31	223
196	193	25	218
135	194	27	221
292	196	49	245
163	198	2	200
260	200	26	226
236	202	18	220
171	203	36	239
213	204	21	225
101	205	10	215
106	206	44	250
104	207	47	254
138	212	44	256
118	216	42	258
265	217	41	258
125	222	19	241
161	224	10	234
290	225	39	264
166	226	17	243
176	227	25	252
230	228	22	250
242	229	40	269
240	230	19	257
174	232	37	269
298	234	47	281
185	236	42	278
141	237	6	243
229	239	50	289
198	242	5	247
108	243	8	251
134	244	49	293
259	246	8	254
269	249	2	251
286	250	22	272
