a
b
學校代碼	學校名稱	科系代碼	科系名稱	日間∕進修別	等級別	學生數	教師數	上學年度畢業生數	縣市名稱	體系別
0052	國立屏東大學	480109	資訊管理(技術)學系	D 日	M 碩士	26	0	8	13 屏東縣	1 一般
0052	國立屏東大學	520114	資訊工程學系	D 日	M 碩士	25	0	3	13 屏東縣	1 一般
0052	國立屏東大學	520116	資訊科學學系	D 日	M 碩士	47	0	17	13 屏東縣	1 一般
1001	東海大學	340501	(計量)(數量)財務金融學系	D 日	M 碩士	39	0	16	19 臺中市	1 一般
1001	東海大學	380101	法律學系	D 日	M 碩士	169	0	21	19 臺中市	1 一般
1001	東海大學	529927	數位創新學位學程	D 日	M 碩士	10	0	0	19 臺中市	1 一般
1001	東海大學	580101	建築(工程)學系	D 日	M 碩士	57	0	21	19 臺中市	1 一般
1002	輔仁大學	720507	營養(科)學系	D 日	M 碩士	42	0	9	01 新北市	1 一般
1002	輔仁大學	720601	護理學系	D 日	M 碩士	32	0	6	01 新北市	1 一般
1002	輔仁大學	760301	(社會政策與)社會工作學系	D 日	M 碩士	67	0	12	01 新北市	1 一般
1002	輔仁大學	760403	兒童與家庭(服務)學系	D 日	M 碩士	58	0	17	01 新北市	1 一般
1003	東吳大學	210401	音樂學系	D 日	M 碩士	48	0	10	30 臺北市	1 一般
1003	東吳大學	220201	(中)國(語)文學系	D 日	M 碩士	56	0	5	30 臺北市	1 一般
1003	東吳大學	220309	英文學系	D 日	M 碩士	18	0	5	30 臺北市	1 一般
1003	東吳大學	220320	日本語文學系	D 日	M 碩士	47	0	11	30 臺北市	1 一般
1004	中原大學	440101	化學系	D 日	M 碩士	64	0	34	03 桃園市	1 一般
1004	中原大學	440301	物理學系	D 日	M 碩士	31	0	19	03 桃園市	1 一般
1004	中原大學	520126	(光電與)通訊(工程)學系	D 日	M 碩士	22	0	19	03 桃園市	1 一般
1004	中原大學	520201	(動力)機械工程學系	D 日	M 碩士	108	0	45	03 桃園市	1 一般
1004	中原大學	520288	機械類產業研發專班	D 日	M 碩士	16	0	5	03 桃園市	1 一般
1004	中原大學	520401	化學工程學系	D 日	M 碩士	92	0	40	03 桃園市	1 一般
1004	中原大學	520514	奈米科技(暨)(微系統工程)研究所	D 日	M 碩士	22	0	3	03 桃園市	1 一般
1005	淡江大學	310915	日本政經研究所	D 日	M 碩士	6	6	0	01 新北市	1 一般
1005	淡江大學	340301	企業管理學系	D 日	M 碩士	47	0	22	01 新北市	1 一般
