
***** Pokemon Tree and Heap *****
* 0. QUIT                       *
* 1. Read a file to build BST   *
* 2. Transform it into Max Heap *
*********************************
Input a choice(0, 1, 2): 
Input a file number [0: quit]: 	#	Name                    	Type 1    	HP	Attack	Defense
[ 1]	1	Bulbasaur               	Grass     	45    	49	49
[ 2]	2	Ivysaur                 	Grass     	60    	62	65
[ 3]	3	Venusaur                	Grass     	80    	82	80
[ 4]	6	Charizard               	Fire      	78    	84	78
[ 5]	7	Squirtle                	Water     	44    	48	65
[ 6]	8	Wartortle               	Water     	59    	63	80
[ 7]	9	Blastoise               	Water     	79    	83	80
[ 8]	10	Caterpie                	Bug       	45    	30	30
[ 9]	11	Metapod                 	Bug       	50    	20	50
[10]	13	Weedle                  	Bug       	40    	35	30
[11]	14	Kakuna                  	Bug       	45    	25	50
[12]	15	Beedrill                	Bug       	65    	90	40
HP tree height = 5
Leftmost node: 
[10]	13	Weedle                  	Bug       	40    	35	30
Rightmost node: 
[3]	3	Venusaur                	Grass     	80    	82	80

***** Pokemon Tree and Heap *****
* 0. QUIT                       *
* 1. Read a file to build BST   *
* 2. Transform it into Max Heap *
*********************************
Input a choice(0, 1, 2): 
Input a file number [0: quit]: 	#	Name                    	Type 1    	HP	Attack	Defense
[ 1]	1	Bulbasaur               	Grass     	45    	49	49
[ 2]	2	Ivysaur                 	Grass     	60    	62	63
[ 3]	3	Venusaur                	Grass     	80    	82	83
[ 4]	4	Charmander              	Fire      	39    	52	43
[ 5]	5	Charmeleon              	Fire      	58    	64	58
[ 6]	6	Charizard               	Fire      	78    	84	78
[ 7]	7	Squirtle                	Water     	44    	48	65
[ 8]	8	Wartortle               	Water     	59    	63	80
[ 9]	9	Blastoise               	Water     	79    	83	100
[10]	10	Caterpie                	Bug       	45    	30	35
[11]	11	Metapod                 	Bug       	50    	20	55
[12]	12	Butterfree              	Bug       	60    	45	50
[13]	13	Weedle                  	Bug       	40    	35	30
[14]	14	Kakuna                  	Bug       	45    	25	50
[15]	15	Beedrill                	Bug       	65    	90	40
[16]	16	Pidgey                  	Normal    	40    	45	40
[17]	17	Pidgeotto               	Normal    	63    	60	55
[18]	18	Pidgeot                 	Normal    	83    	80	75
[19]	19	Rattata                 	Normal    	30    	56	35
[20]	20	Raticate                	Normal    	55    	81	60
[21]	21	Spearow                 	Normal    	40    	60	30
[22]	22	Fearow                  	Normal    	65    	90	65
[23]	23	Ekans                   	Poison    	35    	60	44
[24]	24	Arbok                   	Poison    	60    	85	69
[25]	25	Pikachu                 	Electric  	35    	55	40
[26]	26	Raichu                  	Electric  	60    	90	55
[27]	27	Sandshrew               	Ground    	50    	75	85
[28]	28	Sandslash               	Ground    	75    	100	110
[29]	29	Nidoran€                	Poison    	55    	47	52
[30]	30	Nidorina                	Poison    	70    	62	67
[31]	31	Nidoqueen               	Poison    	90    	92	87
[32]	32	Nidoran                 	Poison    	46    	57	40
[33]	33	Nidorino                	Poison    	61    	72	57
[34]	34	Nidoking                	Poison    	81    	102	77
[35]	35	Clefairy                	Fairy     	70    	45	48
[36]	36	Clefable                	Fairy     	95    	70	73
[37]	37	Vulpix                  	Fire      	38    	41	40
[38]	38	Ninetales               	Fire      	73    	76	75
[39]	39	Jigglypuff              	Normal    	115   	45	20
[40]	40	Wigglytuff              	Normal    	140   	70	45
[41]	41	Zubat                   	Poison    	40    	45	35
[42]	42	Golbat                  	Poison    	75    	80	70
[43]	43	Oddish                  	Grass     	45    	50	55
[44]	44	Gloom                   	Grass     	60    	65	70
[45]	45	Vileplume               	Grass     	75    	80	85
[46]	46	Paras                   	Bug       	35    	70	55
[47]	47	Parasect                	Bug       	60    	95	80
[48]	48	Venonat                 	Bug       	60    	55	50
[49]	49	Venomoth                	Bug       	70    	65	60
[50]	50	Diglett                 	Ground    	10    	55	25
[51]	51	Dugtrio                 	Ground    	35    	80	50
[52]	52	Meowth                  	Normal    	40    	45	35
[53]	53	Persian                 	Normal    	65    	70	60
[54]	54	Psyduck                 	Water     	50    	52	48
[55]	55	Golduck                 	Water     	80    	82	78
[56]	56	Mankey                  	Fighting  	40    	80	35
[57]	57	Primeape                	Fighting  	65    	105	60
[58]	58	Growlithe               	Fire      	55    	70	45
[59]	59	Arcanine                	Fire      	90    	110	80
[60]	60	Poliwag                 	Water     	40    	50	40
[61]	61	Poliwhirl               	Water     	65    	65	65
[62]	62	Poliwrath               	Water     	90    	95	95
[63]	63	Abra                    	Psychic   	25    	20	15
[64]	64	Kadabra                 	Psychic   	40    	35	30
[65]	65	Alakazam                	Psychic   	55    	50	45
[66]	66	Machop                  	Fighting  	70    	80	50
[67]	67	Machoke                 	Fighting  	80    	100	70
[68]	68	Machamp                 	Fighting  	90    	130	80
[69]	69	Bellsprout              	Grass     	50    	75	35
[70]	70	Weepinbell              	Grass     	65    	90	50
[71]	71	Victreebel              	Grass     	80    	105	65
[72]	72	Tentacool               	Water     	40    	40	35
[73]	73	Tentacruel              	Water     	80    	70	65
[74]	74	Geodude                 	Rock      	40    	80	100
[75]	75	Graveler                	Rock      	55    	95	115
[76]	76	Golem                   	Rock      	80    	120	130
[77]	77	Ponyta                  	Fire      	50    	85	55
[78]	78	Rapidash                	Fire      	65    	100	70
[79]	79	Slowpoke                	Water     	90    	65	65
[80]	80	Slowbro                 	Water     	95    	75	110
