大專校院各校科系別概況										
105 學年度 SY2016-2017										
學校代碼	學校名稱	科系代碼	科系名稱	日間∕進修別	等級別	學生數	教師數	上學年度畢業生數	縣市名稱	體系別
0002	國立清華大學	520114	資訊工程學系	D 日	B 學士	1	43	117	18 新竹市	1 一般
0003	國立臺灣大學	520114	資訊工程學系	D 日	B 學士	1	30	104	30 臺北市	1 一般
0005	國立成功大學	520114	資訊工程學系	D 日	B 學士	1	28	85	21 臺南市	1 一般
0006	國立中興大學	520119	資訊科學與工程學系	D 日	B 學士	1	18	45	19 臺中市	1 一般
0007	國立交通大學	520114	資訊工程學系	D 日	B 學士	1	24	187	18 新竹市	1 一般
0008	國立中央大學	520114	資訊工程學系	D 日	B 學士	1	28	109	03 桃園市	1 一般
0009	國立中山大學	520114	資訊工程學系	D 日	B 學士	1	20	44	50 高雄市	1 一般
0013	國立中正大學	520114	資訊工程學系	D 日	B 學士	1	24	90	10 嘉義縣	1 一般
0017	國立臺北大學	520114	資訊工程學系	D 日	B 學士	1	12	39	01 新北市	1 一般
0018	國立嘉義大學	520114	資訊工程學系	D 日	B 學士	1	15	40	20 嘉義市	1 一般
0019	國立高雄大學	520114	資訊工程學系	D 日	B 學士	1	11	37	50 高雄市	1 一般
0020	國立東華大學	520114	資訊工程學系	D 日	B 學士	1	19	51	15 花蓮縣	1 一般
0030	國立臺東大學	520114	資訊工程學系	D 日	B 學士	1	11	86	14 臺東縣	1 一般
0031	國立宜蘭大學	520114	資訊工程學系	D 日	B 學士	1	10	37	02 宜蘭縣	1 一般
0032	國立聯合大學	520114	資訊工程學系	D 日	B 學士	1	11	40	05 苗栗縣	1 一般
0036	國立臺南大學	520114	資訊工程學系	D 日	B 學士	1	9	39	21 臺南市	1 一般
0048	國立金門大學	520114	資訊工程學系	D 日	B 學士	1	8	44	71 金門縣	1 一般
0052	國立屏東大學	520114	資訊工程學系	D 日	B 學士	1	10	49	13 屏東縣	1 一般
1001	東海大學	520114	資訊工程學系	D 日	B 學士	2	19	107	19 臺中市	1 一般
1002	輔仁大學	520114	資訊工程學系	D 日	B 學士	2	15	118	01 新北市	1 一般
1004	中原大學	520114	資訊工程學系	D 日	B 學士	2	15	73	03 桃園市	1 一般
1005	淡江大學	520114	資訊工程學系	D 日	B 學士	2	28	179	01 新北市	1 一般
1007	逢甲大學	520114	資訊工程學系	D 日	B 學士	2	32	170	19 臺中市	1 一般
1008	靜宜大學	520114	資訊工程學系	D 日	B 學士	2	15	98	06 臺中市	1 一般
1009	長庚大學	520114	資訊工程學系	D 日	B 學士	2	18	43	03 桃園市	1 一般
1010	元智大學	520114	資訊工程學系	D 日	B 學士	2	23	142	03 桃園市	1 一般
1011	中華大學	520114	資訊工程學系	D 日	B 學士	2	18	80	18 新竹市	1 一般
1012	大葉大學	520114	資訊工程學系	D 日	B 學士	2	9	55	07 彰化縣	1 一般
1014	義守大學	520114	資訊工程學系	D 日	B 學士	2	18	121	12 高雄市	1 一般
1016	銘傳大學	520114	資訊工程學系	D 日	B 學士	2	18	77	30 臺北市	1 一般
1020	南華大學	520114	資訊工程學系	D 日	B 學士	2	8	43	10 嘉義縣	1 一般
1021	真理大學	520114	資訊工程學系	D 日	B 學士	2	14	61	01 新北市	1 一般
1022	大同大學	520114	資訊工程學系	D 日	B 學士	2	16	78	30 臺北市	1 一般
1033	長榮大學	520114	資訊工程學系	D 日	B 學士	2	9	80	11 臺南市	1 一般
1048	亞洲大學	520114	資訊工程學系	D 日	B 學士	2	19	83	06 臺中市	1 一般
